64960 0.51
37.230000000000004 3.5700000000000003 -1.000000002
37.74 3.5700000000000003 -1.000000002
38.25 3.5700000000000003 -1.000000002
38.76 3.5700000000000003 -1.000000002
39.27 3.5700000000000003 -1.000000002
39.78 3.5700000000000003 -1.000000002
40.29 3.5700000000000003 -1.000000002
40.8 3.5700000000000003 -1.000000002
41.31 3.5700000000000003 -1.000000002
41.82 3.5700000000000003 -1.000000002
42.33 3.5700000000000003 -1.000000002
0.0 4.08 -1.000000002
0.51 4.08 -1.000000002
1.02 4.08 -1.000000002
1.53 4.08 -1.000000002
2.04 4.08 -1.000000002
2.55 4.08 -1.000000002
3.06 4.08 -1.000000002
3.5700000000000003 4.08 -1.000000002
4.08 4.08 -1.000000002
4.59 4.08 -1.000000002
5.1 4.08 -1.000000002
5.61 4.08 -1.000000002
6.12 4.08 -1.000000002
6.63 4.08 -1.000000002
7.140000000000001 4.08 -1.000000002
7.65 4.08 -1.000000002
8.16 4.08 -1.000000002
8.67 4.08 -1.000000002
9.18 4.08 -1.000000002
9.69 4.08 -1.000000002
10.2 4.08 -1.000000002
10.71 4.08 -1.000000002
11.22 4.08 -1.000000002
11.73 4.08 -1.000000002
12.24 4.08 -1.000000002
12.75 4.08 -1.000000002
13.26 4.08 -1.000000002
13.77 4.08 -1.000000002
14.280000000000001 4.08 -1.000000002
14.781736433681042 4.08 -1.0043685312369475
27.038299576195303 4.08 -1.0044217382795502
27.54 4.08 -1.000000002
28.05 4.08 -1.000000002
28.560000000000002 4.08 -1.000000002
29.07 4.08 -1.000000002
29.580000000000002 4.08 -1.000000002
30.09 4.08 -1.000000002
30.6 4.08 -1.000000002
31.11 4.08 -1.000000002
31.62 4.08 -1.000000002
32.13 4.08 -1.000000002
32.64 4.08 -1.000000002
33.15 4.08 -1.000000002
33.660000000000004 4.08 -1.000000002
34.17 4.08 -1.000000002
34.68 4.08 -1.000000002
35.19 4.08 -1.000000002
35.7 4.08 -1.000000002
36.21 4.08 -1.000000002
36.72 4.08 -1.000000002
37.230000000000004 4.08 -1.000000002
37.74 4.08 -1.000000002
38.25 4.08 -1.000000002
38.76 4.08 -1.000000002
39.27 4.08 -1.000000002
39.78 4.08 -1.000000002
40.29 4.08 -1.000000002
40.8 4.08 -1.000000002
41.31 4.08 -1.000000002
41.82 4.08 -1.000000002
42.33 4.08 -1.000000002
0.0 4.59 -1.000000002
0.51 4.59 -1.000000002
1.02 4.59 -1.000000002
1.53 4.59 -1.000000002
2.04 4.59 -1.000000002
2.55 4.59 -1.000000002
3.06 4.59 -1.000000002
3.5700000000000003 4.59 -1.000000002
4.08 4.59 -1.000000002
4.59 4.59 -1.000000002
5.1 4.59 -1.000000002
5.61 4.59 -1.000000002
6.12 4.59 -1.000000002
6.63 4.59 -1.000000002
7.140000000000001 4.59 -1.000000002
7.65 4.59 -1.000000002
8.16 4.59 -1.000000002
8.67 4.59 -1.000000002
9.18 4.59 -1.000000002
9.69 4.59 -1.000000002
10.2 4.59 -1.000000002
10.71 4.59 -1.000000002
11.22 4.59 -1.000000002
11.73 4.59 -1.000000002
12.24 4.59 -1.000000002
12.75 4.59 -1.000000002
13.26 4.59 -1.000000002
13.77 4.59 -1.000000002
14.280000000000001 4.59 -1.000000002
14.781736433681042 4.59 -1.0043685312369475
27.038299576195303 4.59 -1.0044217382795502
27.54 4.59 -1.000000002
28.05 4.59 -1.000000002
28.560000000000002 4.59 -1.000000002
29.07 4.59 -1.000000002
29.580000000000002 4.59 -1.000000002
30.09 4.59 -1.000000002
30.6 4.59 -1.000000002
31.11 4.59 -1.000000002
31.62 4.59 -1.000000002
32.13 4.59 -1.000000002
32.64 4.59 -1.000000002
33.15 4.59 -1.000000002
33.660000000000004 4.59 -1.000000002
34.17 4.59 -1.000000002
34.68 4.59 -1.000000002
35.19 4.59 -1.000000002
35.7 4.59 -1.000000002
36.21 4.59 -1.000000002
36.72 4.59 -1.000000002
37.230000000000004 4.59 -1.000000002
37.74 4.59 -1.000000002
38.25 4.59 -1.000000002
38.76 4.59 -1.000000002
39.27 4.59 -1.000000002
39.78 4.59 -1.000000002
40.29 4.59 -1.000000002
40.8 4.59 -1.000000002
41.31 4.59 -1.000000002
41.82 4.59 -1.000000002
42.33 4.59 -1.000000002
0.0 5.1 -1.000000002
0.51 5.1 -1.000000002
1.02 5.1 -1.000000002
1.53 5.1 -1.000000002
2.04 5.1 -1.000000002
2.55 5.1 -1.000000002
3.06 5.1 -1.000000002
3.5700000000000003 5.1 -1.000000002
4.08 5.1 -1.000000002
4.59 5.1 -1.000000002
5.1 5.1 -1.000000002
5.61 5.1 -1.000000002
6.12 5.1 -1.000000002
6.63 5.1 -1.000000002
7.140000000000001 5.1 -1.000000002
7.65 5.1 -1.000000002
8.16 5.1 -1.000000002
8.67 5.1 -1.000000002
9.18 5.1 -1.000000002
9.69 5.1 -1.000000002
10.2 5.1 -1.000000002
10.71 5.1 -1.000000002
11.22 5.1 -1.000000002
11.73 5.1 -1.000000002
12.24 5.1 -1.000000002
12.75 5.1 -1.000000002
13.26 5.1 -1.000000002
13.77 5.1 -1.000000002
14.280000000000001 5.1 -1.000000002
14.781736433681042 5.1 -1.0043685312369475
27.038299576195303 5.1 -1.0044217382795502
27.54 5.1 -1.000000002
28.05 5.1 -1.000000002
28.560000000000002 5.1 -1.000000002
29.07 5.1 -1.000000002
29.580000000000002 5.1 -1.000000002
30.09 5.1 -1.000000002
30.6 5.1 -1.000000002
31.11 5.1 -1.000000002
31.62 5.1 -1.000000002
32.13 5.1 -1.000000002
32.64 5.1 -1.000000002
33.15 5.1 -1.000000002
33.660000000000004 5.1 -1.000000002
34.17 5.1 -1.000000002
34.68 5.1 -1.000000002
35.19 5.1 -1.000000002
35.7 5.1 -1.000000002
36.21 5.1 -1.000000002
36.72 5.1 -1.000000002
37.230000000000004 5.1 -1.000000002
37.74 5.1 -1.000000002
38.25 5.1 -1.000000002
38.76 5.1 -1.000000002
39.27 5.1 -1.000000002
39.78 5.1 -1.000000002
40.29 5.1 -1.000000002
40.8 5.1 -1.000000002
41.31 5.1 -1.000000002
41.82 5.1 -1.000000002
42.33 5.1 -1.000000002
0.0 5.61 -1.000000002
0.51 5.61 -1.000000002
1.02 5.61 -1.000000002
1.53 5.61 -1.000000002
2.04 5.61 -1.000000002
2.55 5.61 -1.000000002
3.06 5.61 -1.000000002
3.5700000000000003 5.61 -1.000000002
4.08 5.61 -1.000000002
4.59 5.61 -1.000000002
5.1 5.61 -1.000000002
5.61 5.61 -1.000000002
6.12 5.61 -1.000000002
6.63 5.61 -1.000000002
7.140000000000001 5.61 -1.000000002
7.65 5.61 -1.000000002
8.16 5.61 -1.000000002
8.67 5.61 -1.000000002
9.18 5.61 -1.000000002
9.69 5.61 -1.000000002
10.2 5.61 -1.000000002
10.71 5.61 -1.000000002
11.22 5.61 -1.000000002
11.73 5.61 -1.000000002
12.24 5.61 -1.000000002
12.75 5.61 -1.000000002
13.26 5.61 -1.000000002
13.77 5.61 -1.000000002
14.280000000000001 5.61 -1.000000002
14.781736433681042 5.61 -1.0043685312369475
27.038299576195303 5.61 -1.0044217382795502
27.54 5.61 -1.000000002
28.05 5.61 -1.000000002
28.560000000000002 5.61 -1.000000002
29.07 5.61 -1.000000002
29.580000000000002 5.61 -1.000000002
30.09 5.61 -1.000000002
30.6 5.61 -1.000000002
31.11 5.61 -1.000000002
31.62 5.61 -1.000000002
32.13 5.61 -1.000000002
32.64 5.61 -1.000000002
33.15 5.61 -1.000000002
33.660000000000004 5.61 -1.000000002
34.17 5.61 -1.000000002
34.68 5.61 -1.000000002
35.19 5.61 -1.000000002
35.7 5.61 -1.000000002
36.21 5.61 -1.000000002
36.72 5.61 -1.000000002
37.230000000000004 5.61 -1.000000002
37.74 5.61 -1.000000002
38.25 5.61 -1.000000002
38.76 5.61 -1.000000002
39.27 5.61 -1.000000002
39.78 5.61 -1.000000002
40.29 5.61 -1.000000002
40.8 5.61 -1.000000002
41.31 5.61 -1.000000002
41.82 5.61 -1.000000002
42.33 5.61 -1.000000002
0.0 6.12 -1.000000002
0.51 6.12 -1.000000002
1.02 6.12 -1.000000002
1.53 6.12 -1.000000002
2.04 6.12 -1.000000002
2.55 6.12 -1.000000002
3.06 6.12 -1.000000002
3.5700000000000003 6.12 -1.000000002
4.08 6.12 -1.000000002
4.59 6.12 -1.000000002
5.1 6.12 -1.000000002
5.61 6.12 -1.000000002
6.12 6.12 -1.000000002
6.63 6.12 -1.000000002
7.140000000000001 6.12 -1.000000002
7.65 6.12 -1.000000002
8.16 6.12 -1.000000002
8.67 6.12 -1.000000002
9.18 6.12 -1.000000002
9.69 6.12 -1.000000002
10.2 6.12 -1.000000002
10.71 6.12 -1.000000002
11.22 6.12 -1.000000002
11.73 6.12 -1.000000002
12.24 6.12 -1.000000002
12.75 6.12 -1.000000002
13.26 6.12 -1.000000002
13.77 6.12 -1.000000002
14.280000000000001 6.12 -1.000000002
14.781736433681042 6.12 -1.0043685312369475
27.038299576195303 6.12 -1.0044217382795502
27.54 6.12 -1.000000002
28.05 6.12 -1.000000002
28.560000000000002 6.12 -1.000000002
29.07 6.12 -1.000000002
29.580000000000002 6.12 -1.000000002
30.09 6.12 -1.000000002
30.6 6.12 -1.000000002
31.11 6.12 -1.000000002
31.62 6.12 -1.000000002
32.13 6.12 -1.000000002
32.64 6.12 -1.000000002
33.15 6.12 -1.000000002
33.660000000000004 6.12 -1.000000002
34.17 6.12 -1.000000002
34.68 6.12 -1.000000002
35.19 6.12 -1.000000002
35.7 6.12 -1.000000002
36.21 6.12 -1.000000002
