28919 0.5
6 -5 -30
6.5 -5 -30
7 -5 -30
7.5 -5 -30
8 -5 -30
8.5 -5 -30
9 -5 -30
9.5 -5 -30
10 -5 -30
10.5 -5 -30
11 -5 -30
11.5 -5 -30
12 -5 -30
12.5 -5 -30
13 -5 -30
13.5 -5 -30
14 -5 -30
14.5 -5 -30
15 -5 -30
15.5 -5 -30
16 -5 -30
16.5 -5 -30
17 -5 -30
17.5 -5 -30
18 -5 -30
18.5 -5 -30
19 -5 -30
19.5 -5 -30
20 -5 -30
20.5 -5 -30
21 -5 -30
21.5 -5 -30
22 -5 -30
22.5 -5 -30
23 -5 -30
23.5 -5 -30
24 -5 -30
24.5 -5 -30
25 -5 -30
25.5 -5 -30
26 -5 -30
26.5 -5 -30
27 -5 -30
27.5 -5 -30
28 -5 -30
28.5 -5 -30
29 -5 -30
29.5 -5 -30
30 -5 -30
-30 -4.5 -30
-29.5 -4.5 -30
-29 -4.5 -30
-28.5 -4.5 -30
-28 -4.5 -30
-27.5 -4.5 -30
-27 -4.5 -30
-26.5 -4.5 -30
-26 -4.5 -30
-25.5 -4.5 -30
-25 -4.5 -30
-24.5 -4.5 -30
-24 -4.5 -30
-23.5 -4.5 -30
-23 -4.5 -30
-22.5 -4.5 -30
-22 -4.5 -30
-21.5 -4.5 -30
-21 -4.5 -30
-20.5 -4.5 -30
-20 -4.5 -30
-19.5 -4.5 -30
-19 -4.5 -30
-18.5 -4.5 -30
-18 -4.5 -30
-17.5 -4.5 -30
-17 -4.5 -30
-16.5 -4.5 -30
-16 -4.5 -30
-15.5 -4.5 -30
-15 -4.5 -30
-14.5 -4.5 -30
-14 -4.5 -30
-13.5 -4.5 -30
-13 -4.5 -30
-12.5 -4.5 -30
-12 -4.5 -30
-11.5 -4.5 -30
-11 -4.5 -30
-10.5 -4.5 -30
-10 -4.5 -30
-9.5 -4.5 -30
-9 -4.5 -30
-8.5 -4.5 -30
-8 -4.5 -30
-7.5 -4.5 -30
-7 -4.5 -30
-6.5 -4.5 -30
-6 -4.5 -30
-5.5 -4.5 -30
-5 -4.5 -30
-4.5 -4.5 -30
-4 -4.5 -30
-3.5 -4.5 -30
-3 -4.5 -30
-2.5 -4.5 -30
-2 -4.5 -30
-1.5 -4.5 -30
-1 -4.5 -30
-0.5 -4.5 -30
0 -4.5 -30
0.5 -4.5 -30
1 -4.5 -30
1.5 -4.5 -30
2 -4.5 -30
2.5 -4.5 -30
3 -4.5 -30
3.5 -4.5 -30
4 -4.5 -30
4.5 -4.5 -30
5 -4.5 -30
5.5 -4.5 -30
6 -4.5 -30
6.5 -4.5 -30
7 -4.5 -30
7.5 -4.5 -30
8 -4.5 -30
8.5 -4.5 -30
9 -4.5 -30
9.5 -4.5 -30
10 -4.5 -30
10.5 -4.5 -30
11 -4.5 -30
11.5 -4.5 -30
12 -4.5 -30
12.5 -4.5 -30
13 -4.5 -30
13.5 -4.5 -30
14 -4.5 -30
14.5 -4.5 -30
15 -4.5 -30
15.5 -4.5 -30
16 -4.5 -30
16.5 -4.5 -30
17 -4.5 -30
17.5 -4.5 -30
18 -4.5 -30
18.5 -4.5 -30
19 -4.5 -30
19.5 -4.5 -30
20 -4.5 -30
20.5 -4.5 -30
21 -4.5 -30
21.5 -4.5 -30
22 -4.5 -30
22.5 -4.5 -30
23 -4.5 -30
23.5 -4.5 -30
24 -4.5 -30
24.5 -4.5 -30
25 -4.5 -30
25.5 -4.5 -30
26 -4.5 -30
26.5 -4.5 -30
27 -4.5 -30
27.5 -4.5 -30
28 -4.5 -30
28.5 -4.5 -30
29 -4.5 -30
29.5 -4.5 -30
30 -4.5 -30
-30 -4 -30
-29.5 -4 -30
-29 -4 -30
-28.5 -4 -30
-28 -4 -30
-27.5 -4 -30
-27 -4 -30
-26.5 -4 -30
-26 -4 -30
-25.5 -4 -30
-25 -4 -30
-24.5 -4 -30
-24 -4 -30
-23.5 -4 -30
-23 -4 -30
-22.5 -4 -30
-22 -4 -30
-21.5 -4 -30
-21 -4 -30
-20.5 -4 -30
-20 -4 -30
-19.5 -4 -30
-19 -4 -30
-18.5 -4 -30
-18 -4 -30
-17.5 -4 -30
-17 -4 -30
-16.5 -4 -30
-16 -4 -30
-15.5 -4 -30
-15 -4 -30
-14.5 -4 -30
-14 -4 -30
-13.5 -4 -30
-13 -4 -30
-12.5 -4 -30
-12 -4 -30
-11.5 -4 -30
-11 -4 -30
-10.5 -4 -30
-10 -4 -30
-9.5 -4 -30
-9 -4 -30
-8.5 -4 -30
-8 -4 -30
-7.5 -4 -30
-7 -4 -30
-6.5 -4 -30
-6 -4 -30
-5.5 -4 -30
-5 -4 -30
-4.5 -4 -30
-4 -4 -30
-3.5 -4 -30
-3 -4 -30
-2.5 -4 -30
-2 -4 -30
-1.5 -4 -30
-1 -4 -30
-0.5 -4 -30
0 -4 -30
0.5 -4 -30
1 -4 -30
1.5 -4 -30
2 -4 -30
2.5 -4 -30
3 -4 -30
3.5 -4 -30
4 -4 -30
4.5 -4 -30
5 -4 -30
5.5 -4 -30
6 -4 -30
6.5 -4 -30
7 -4 -30
7.5 -4 -30
8 -4 -30
8.5 -4 -30
9 -4 -30
9.5 -4 -30
10 -4 -30
10.5 -4 -30
11 -4 -30
11.5 -4 -30
12 -4 -30
12.5 -4 -30
13 -4 -30
13.5 -4 -30
14 -4 -30
14.5 -4 -30
15 -4 -30
15.5 -4 -30
16 -4 -30
16.5 -4 -30
17 -4 -30
17.5 -4 -30
18 -4 -30
18.5 -4 -30
19 -4 -30
19.5 -4 -30
20 -4 -30
20.5 -4 -30
21 -4 -30
21.5 -4 -30
22 -4 -30
22.5 -4 -30
23 -4 -30
23.5 -4 -30
24 -4 -30
24.5 -4 -30
25 -4 -30
25.5 -4 -30
26 -4 -30
26.5 -4 -30
27 -4 -30
27.5 -4 -30
28 -4 -30
28.5 -4 -30
29 -4 -30
29.5 -4 -30
30 -4 -30
-30 -3.5 -30
-29.5 -3.5 -30
-29 -3.5 -30
-28.5 -3.5 -30
-28 -3.5 -30
-27.5 -3.5 -30
-27 -3.5 -30
-26.5 -3.5 -30
-26 -3.5 -30
-25.5 -3.5 -30
-25 -3.5 -30
-24.5 -3.5 -30
-24 -3.5 -30
-23.5 -3.5 -30
-23 -3.5 -30
-22.5 -3.5 -30
-22 -3.5 -30
-21.5 -3.5 -30
-21 -3.5 -30
-20.5 -3.5 -30
